CPNT_ID,CPNT_TYP_ID,REV_DTE,DMN_ID,NOTACTIVE,CPNT_TITLE,DEL_MTH_ID,SUBJ_AREA_1,SUBJ_AREA_2,SUBJ_AREA_3,CONTACT,CPNT_DESC,COMMENTS,CMPL_STAT_ID,CPNT_LEN,AUTO_FILL_ENRL,ENRL_THRESHOLD_DAYS,SCHEDULE_CAN_OVERRIDE_PRICE,RTYP_ID,CPNT_SRC_ID,SAFETY_REL,CREATE_DTE,INIT_NUMBER,INIT_PERIOD_TYPE_ID,INIT_BASIS_TYPE_ID,RETRNG_NUMBER,RETRNG_PERIOD_TYPE_ID,RETRNG_BASIS_TYPE_ID,REV_NUM,REVISER,APPRVR,APPRVD,APPRVL_DTE,MIN_ENRL,MAX_ENRL,PREP_LEN,DEFAULT_PUB_PRICE,LES_PLAN,CREDIT_HRS,CPE_HRS,CONTACT_HRS,STUD_MATS,INST_MATS,CPNT_GOALS,TGT_AUDNC,GRADE_OPT,CHGBCK_METHOD,SHOW_IN_CATALOG,COL_NUM1_VAL,COL_NUM2_VAL,COL_NUM3_VAL,COL_NUM4_VAL,COL_NUM5_VAL,PRICE_CURRENCY_CODE,LEVEL1_SURVEY,LEVEL3_SURVEY,CATALOG_1,CATALOG_2,CATALOG_3,APP_ID,BUILD_USER,BUILD_COMPANY,BUILD_LOC,BUILD_DATE,DEVELOPER_TOOL,CONTENT_ONLINE,LAUNCH_TYPE,PRIMARY_PARAM,OFFLINE_PRIMARY_PARAM,SECONDARY_PARAMS,AICC_SUPPORT,ENABLE_CROSSDOMAIN,ITEM_ONLINE,ITEM_ONLINE_ONLY,REVIEWABLE,DAYS_TO_EXPIRATION,FAIL_STAT_ID,AICC_MAX_NORMAL,MODULE_NAME,MASTERY_SCORE,REMOVE_CPNT_MODULE_FLAG,ESIG_ENABLED,INCLUDE_IN_GOVT_REPORTING,TRAINING_TYPE,LGL_ENTITY_2483_ID,ENABLE_RATING,INCLUDE_PREV_REV_RATING,MODULE_TYPE,CONTENT_WRAPPER_TYPE,EXAM_REVIEW_OPTION,NODE_LEVEL,NODE_NO,OFFLINE_ACCESSIBLE,APP_DMN_ID,APP_DESCRIPTION,APP_NOTACTIVE,APP_TITLE,AUTO_COMPETENCY,THUMBNAIL_URI,FAILURE_ACTION,REPEAT_COUNT,OFFLINE_FILE_PATH,SELF_ENRL,ENABLE_ORDER,APPROVAL_REQD,TAP_DEF_ID,SELF_RECORD_LRNGEVT,SUB_RECORD_LRNGEVT,USE_AICC_WRAPPER,HTML_CPNT_DESC,TRIGGER_CPNT_PASS,TRIGGER_CPNT_FAIL,PARENT_MODULE_NAME,FORCE_ORDER,LOCALE,USER_CAN_WAITLIST,SUPER_ENRL,WITHDRAW_TAP_DEF_ID,WITHDRAW_APPROVAL_REQ,LAUNCH_IN_A_NEW_BWSR_WINDOW,PRODUCTION_READY,SCHED_CAN_OVERRIDE_CAN_POLICY,CANCEL_POLICY_ID,SKIP_CONTENT_STRUCTURE_PAGE!##!
course-27759,ONLINE,,AHOLD,N,Data Analysis in Power BI,,,,,,"Enhance your reports with Power BI's Exploratory Data Analysis (EDA). You'll start by using descriptive statistics to spot outliers, identify missing data, and apply imputation techniques to fill any gaps in your dataset. You’ll then learn how EDA in Power BI can help you discover the relationships between variables—both categorical and continuous. You'll also learn how to analyze time series, visualize your data, and spot trends. Lastly, you’ll find out how to identify which variables exhibit the most influence on the target variable using Power BI's decomposition trees and key influencers.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/data-analysis-in-power-bi,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Data Analysis in Power BI,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-27643,ONLINE,,AHOLD,N,Interactive Data Visualization with Bokeh,,,,,,"Bokeh is a powerful Python package for interactive data visualization, enabling you to go beyond static plots and allow stakeholders to modify your visualizations! In this interactive data visualization with Bokeh course, you&apos;ll work with a range of datasets, including stock prices, basketball player statistics, and Australian real-estate sales data. Through hands-on exercises, you’ll build and customize a range of plots, including scatter, bar, line, and grouped bar plots. You&apos;ll also get to grips with configuration tools to change how viewers interact with your plot, discover Bokeh&apos;s custom themes, learn how to generate subplots, and even how to add widgets to your plots!",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/interactive-data-visualization-with-bokeh,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Interactive Data Visualization with Bokeh,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-27502,ONLINE,,AHOLD,N,Case Study: Analyzing Customer Churn in Tableau,,,,,,"Are you ready to apply your Tableau skills to a real-world dataset?

For subscription-based businesses, reducing customer churn is a top priority. In this Tableau case study, you'll investigate a dataset from an example telecom company called Databel and analyze their churn rates. Analyzing churn doesn’t just mean knowing what the churn rate is: it’s also about figuring out why customers are churning at the rate they are, and how to reduce churn. You'll answer these questions by creating calculated fields and various visualizations in Tableau, such as dual-axis graphs and scatter plots. You'll make your graphs dynamic by using filters and parameters, and combine everything into a story to share your insights.
",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/case-study-analyzing-customer-churn-in-tableau,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Case Study: Analyzing Customer Churn in Tableau,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-27391,ONLINE,,AHOLD,N,Data Visualization in Power BI,,,,,,"Power BI has extraordinary visuals that can be used in reports and dashboards. In this Power BI course, you’ll learn how to create insightful visualizations through built-in and customized charts, and conditional formatting. You’ll also learn how to use R and Python to create unique visualizations, adding custom chart types that would otherwise not be available in Power BI. Finally, you’ll get introduced to some best practices in data visualization and optimize your visualizations to be more accessible to visually impaired individuals. By the end of this Power BI visualization course, you’ll be up to speed on the “Create reports” part of Power BI’s Exam DA-100 certification.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/data-visualization-in-power-bi,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Data Visualization in Power BI,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-27055,ONLINE,,AHOLD,N,Parallel Programming with Dask in Python,,,,,,"When working with big data, you’ll face two common obstacles: using too much memory and long runtimes. The Dask library can lower your memory use by loading chunks of data only when needed. It can lower runtimes by using all your available computing cores in parallel. Best of all, it requires very few changes to your existing Python code. In this course, you use Dask to analyze Spotify song data, process images of sign language gestures, calculate trends in weather data, analyze audio recordings, and train machine learning models on big data.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/parallel-programming-with-dask-in-python,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Parallel Programming with Dask in Python,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26997,ONLINE,,AHOLD,N,DAX in Power BI,,,,,,"DAX, or Data Analysis eXpressions, is a formula language used in Microsoft Power BI to create calculated columns, measures, and custom tables. Once mastered, DAX gives you powerful control over visuals and reports, allowing for better performance and more flexibility. In this course, you'll get to grips with a wide range of DAX calculations and learn best practices for how to use them in your projects.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/dax-in-power-bi,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,DAX in Power BI,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26935,ONLINE,,AHOLD,N,Streaming Concepts,,,,,,"Streaming is a huge aspect of the data world right now and is being used by nearly every industry from manufacturing to healthcare. Would you like to learn more about the general concepts behind data pipelines and how the processes work?
<br /> <br />
This course provides a general introduction to streaming concepts including batching, queuing, and stream processing along with where they fit into data processing frameworks. It covers real-world examples of how streaming is implemented in production. It is designed as a general introduction to these concepts and does not require an extensive background in data processing.
",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/streaming-concepts,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Streaming Concepts,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26835,ONLINE,,AHOLD,N,AWS Cloud Concepts,,,,,,"Over 50% of all corporate data is stored in the cloud. As cloud computing becomes more and more ubiquitous, mastering at least one cloud platform is now crucial for data practitioners. In this course, you’ll get to grips with AWS—the market-leading cloud provider. You’ll also learn about its main core services, best practices to design AWS applications, and the benefits of using AWS for businesses.
<br /> <br />
This course is a great starting point to prepare you for the AWS Cloud Practitioner Certification.
",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/aws-cloud-concepts,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,AWS Cloud Concepts,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26827,ONLINE,,AHOLD,N,Data Modeling in Power BI,,,,,,"Proper data modeling is the foundation of data analysis and creating reports in Power BI. This course lets you explore a toolbox of data cleaning, shaping, and loading techniques, which you can apply to your data. You'll get to know how to choose between Power Query and Power BI, learn about facts, dimensions, and their relationships, explore the use of quick measures and hierarchies, and write DAX to fully customize your data model. Some best practices are also discussed to improve the performance of your reports. You'll apply all of this on real-world datasets, issued by the United States Census Bureau.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/data-modeling-in-power-bi,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Data Modeling in Power BI,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26823,ONLINE,,AHOLD,N,Programming with dplyr,,,,,,"The tidyverse includes a tremendous set of packages that make working with data simple and fast. But have you ever tried to put dplyr functions inside functions and been stuck with strange errors or unexpected results? Those errors were likely due to tidy evaluation, which requires a little extra work to handle. In Programming with dplyr, you’ll be equipped with strategies for solving these errors via the rlang package. You’ll also learn other techniques for programming with dplyr using data from the World Bank and International Monetary Fund to analyze worldwide trends throughout. You’ll be a tidyverse function writing ninja by the end of the course!",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/programming-with-dplyr,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Programming with dplyr,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
course-26720,ONLINE,,AHOLD,N,Marketing Analytics for Business,,,,,,"In this no-code course, you’ll learn about the role of a Marketing Analyst and how they leverage data to better understand their customers and help companies grow. Through hands-on exercises, you’ll learn how to answer the big questions like ""did my campaign increase sales six months after launch?"" You’ll also work with real-world data to perform essential marketing analysis, including building customer segments, market response models, calculating customer lifetime value (LTV), and much more.",DataCamp Item Connector Upload,COMPLETED,,,,,OPT,DATACAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,3,https://www.datacamp.com/courses/marketing-analytics-for-business,,,,,Y,Y,,,INCOMPLETE,,,,,,,,,,,,,,,,,Ahold,,Y,Marketing Analytics for Business,,,,,,,,Y,AHOLD-1ST-LEVEL-SUPERVISOR,,,,,,,,,,,,,,,,,,!##!
